Date,Call/Put,Stock/Strike,Option Price,Volatility,Average LIBOR
11,C,95.24,3.21,17.887,1.1151276923076925
11,P,95.24,3.55,17.887,1.1151276923076925
12,C,103.975,3.24,16.287,1.2543807692307694
12,P,103.975,3.52,16.287,1.2543807692307694
13,C,116.785,5.85,25.613,1.332427692307692
13,P,116.785,6.06,25.613,1.332427692307692
21,C,120.41,4.81,20.351,2.1366730769230773
21,P,120.41,4.95,20.351,2.1366730769230773
22,C,118.795,5.17,21.923,2.3350107692307693
22,P,118.795,5.22,21.923,2.3350107692307693
23,C,132.595,5.41,20.436,2.37643
23,P,132.595,5.39,20.436,2.37643
31,C,141.625,6.55,23.083,2.6266561538461537
31,P,141.625,6.48,23.083,2.6266561538461537
32,C,157.37,6.39,20.14,2.4090415384615387
32,P,157.37,6.26,20.14,2.4090415384615387
33,C,164.315,6.61,20.096,2.096061538461538
33,P,164.315,6.56,20.093,2.096061538461538
