Date,Call/Put,Stock/Strike,Option Price,Volatility,Average LIBOR
11,C,63.11,3.17,25.659,1.1151276923076925
11,P,63.11,3.98,25.659,1.1151276923076925
12,C,74.645,3.2,21.648,1.2543807692307694
12,P,74.645,3.24,21.648,1.2543807692307694
13,C,72.0,3.11,21.842,1.332427692307692
13,P,72.0,3.16,21.842,1.332427692307692
21,C,91.175,5.01,29.34,2.1366730769230773
21,P,91.175,6.14,29.34,2.1366730769230773
22,C,98.065,5.16,26.613,2.3350107692307693
22,P,98.065,5.23,26.613,2.3350107692307693
23,C,106.61,5.24,24.863,2.37643
23,P,106.61,5.32,24.863,2.37643
31,C,101.11,4.91,26.223,2.6266561538461537
31,P,101.11,6.26,26.223,2.6266561538461537
32,C,119.99,5.47,23.019,2.4090415384615387
32,P,119.99,5.53,23.019,2.4090415384615387
33,C,129.43,6.11,23.744,2.096061538461538
33,P,129.43,6.18,23.744,2.096061538461538
