Date,Call/Put,Stock/Strike,Option Price,Volatility,Average LIBOR
11,C,250.905,8.1,17.398,1.1151276923076925
11,P,250.905,9.26,17.398,1.1151276923076925
12,C,268.535,7.16,14.346,1.2543807692307694
12,P,268.535,8.24,14.346,1.2543807692307694
13,C,292.47,7.82,14.19,1.332427692307692
13,P,292.47,8.75,14.19,1.332427692307692
21,C,357.495,12.48,17.918,2.1366730769230773
21,P,357.495,13.05,17.918,2.1366730769230773
22,C,308.35,13.21,21.779,2.3350107692307693
22,P,308.35,13.55,21.779,2.3350107692307693
23,C,324.895,11.88,18.538,2.37643
23,P,324.895,12.15,18.538,2.37643
31,C,290.505,12.52,22.003,2.6266561538461537
31,P,290.505,12.95,22.003,2.6266561538461537
32,C,331.8,11.27,17.212,2.4090415384615387
32,P,331.8,11.54,17.212,2.4090415384615387
33,C,363.05,13.62,19.066,2.096061538461538
33,P,363.05,13.97,19.066,2.096061538461538
